iteration, mae_loss, mse_loss
0, 78.0428483581543, 6091.265807513892
1, 1.3922677612304697, 2.785249684541256
2, 0.7268298339843753, 0.9255056513389587
3, 0.6359141540527347, 0.6455731583914033
4, 0.4799906921386722, 0.35987577869126197
5, 0.38306076049804716, 0.23725634635344686
6, 0.284329528808594, 0.13672732164012324
7, 0.2201977539062497, 0.07943966386583674
8, 0.18964508056640597, 0.06016009743069334
9, 0.15271499633789035, 0.04039581109921011
10, 0.15026351928710965, 0.040989523457014385
11, 0.1416102600097659, 0.037957483221893615
12, 0.09219253540039034, 0.021358143831952784
13, 0.09018356323242216, 0.014511176154832573
14, 0.07870132446289091, 0.014727238321560702
15, 0.0732597351074233, 0.01677062304841855
16, 0.06907974243164147, 0.010345691753668031
17, 0.08855468750000028, 0.010859389243182003
18, 0.09566223144531279, 0.014661714628804737
19, 0.08748809814453154, 0.01669990298198567
20, 0.11710998535156278, 0.018459990640171127
21, 0.11343032836914091, 0.018155220711254777
22, 0.10690490722656279, 0.018996631226968312
23, 0.13082687377929716, 0.021310689369333218
24, 0.10860244750976591, 0.021321351972059668
25, 0.14300643920898465, 0.02314600580639693
26, 0.13693115234375028, 0.021947993235429977
27, 0.12078125000000028, 0.02062200631340993
28, 0.13896896362304717, 0.02290621585480427
29, 0.15808517456054716, 0.02644204645568988
30, 0.12402908325195341, 0.020107165692956445
31, 0.13985015869140655, 0.022399528415175375
32, 0.1293421936035159, 0.020658150171279217
33, 0.13708908081054716, 0.021471124227741015
34, 0.11176177978515653, 0.018722635211656152
35, 0.1470515441894534, 0.02340536402689777
36, 0.13632766723632841, 0.020833810592652498
37, 0.15410186767578155, 0.02506848444906078
38, 0.11331588745117216, 0.01694948990980653
39, 0.11951705932617215, 0.016652138621197278
40, 0.09254333496093778, 0.013556140585337089
41, 0.13072692871093777, 0.018547417663270744
42, 0.11689178466796904, 0.015217439228203298
43, 0.12228729248046903, 0.016386318549979594
44, 0.09242050170898466, 0.010955681677791476
45, 0.11772338867187529, 0.01518012180319068
46, 0.08096038818359404, 0.009639760644408149
47, 0.09609786987304716, 0.01086133885348697
48, 0.11065856933593779, 0.013432584753958626
49, 0.10968505859375029, 0.013201107397675643
50, 0.11418487548828153, 0.014195123560261086
51, 0.08135330200195341, 0.009365928481915229
52, 0.09512969970703153, 0.010703712551389046
53, 0.09896575927734404, 0.011000863474095353
54, 0.08761474609375028, 0.009047464307863398
55, 0.09432479858398465, 0.010201680499944007
56, 0.07843963623046904, 0.0078883473235184
57, 0.0909877014160159, 0.009528454748564508
58, 0.08448898315429716, 0.008416301026358384
59, 0.07128631591796904, 0.006799328679684696
60, 0.0667428588867196, 0.0060413373620250965
61, 0.08295013427734403, 0.008019860669504945
62, 0.08579513549804715, 0.008492735951789733
63, 0.10014144897460966, 0.011786101629608354
64, 0.060852203369141475, 0.005112780133844521
65, 0.11527435302734404, 0.016424065861850978
66, 0.09863998413085966, 0.011527853507199365
67, 0.07604553222656278, 0.0070261443986092634
68, 0.057692108154297726, 0.004258060270571268
69, 0.0602670288085946, 0.004556698417058314
70, 0.057815704345703975, 0.00395542701042735
71, 0.07973739624023465, 0.008443089968408493
72, 0.07765991210937528, 0.007776596059324267
73, 0.06090637207031335, 0.004798821347998554
74, 0.09026824951171904, 0.010348509544041032
75, 0.06923706054687528, 0.0060671634236351395
76, 0.0866084289550784, 0.009400829939753783
77, 0.07696411132812528, 0.007369683533674165
78, 0.0641322326660159, 0.005385507940431228
79, 0.1034388732910159, 0.013890572211588731
80, 0.10217163085937528, 0.013505090796155857
81, 0.08389160156250028, 0.008869904699735389
82, 0.09737960815429716, 0.012272285140701585
83, 0.10500595092773465, 0.014686711930320593
84, 0.06539947509765653, 0.005799703598953875
85, 0.07970077514648466, 0.008289768546004831
86, 0.07492095947265653, 0.0071333340250422095
87, 0.10485107421875028, 0.01495504004508256
88, 0.08935424804687528, 0.010732016986934491
89, 0.07803451538085966, 0.008178148758946967
90, 0.09636642456054716, 0.012441999370115822
91, 0.06318222045898522, 0.005278300575795682
92, 0.11125167846679603, 0.01618378742749334
93, 0.06911499023437528, 0.006511093099601639
94, 0.0627908325195321, 0.0052566055520438595
95, 0.05713058471679773, 0.003922164778108854
96, 0.07187988281250028, 0.006939269359922108
97, 0.07702285766601591, 0.007908397666527945
98, 0.09378387451171903, 0.012362606527516622
99, 0.07601959228515653, 0.007952168839750858
100, 0.0755641174316409, 0.007822205716860528